기업명,종목코드,corp_code,연도,기업상태,selected_fs_div,has_data,raw_row_count,status_values,status_conflict,missing_feature_count,all_feature_null,too_many_missing_features,event_year_Y,event_date,event_source,y_minus_1_excluded,is_positive_candidate,is_excluded_y_minus_1,is_excluded_event_or_after,target_future_delist,include_for_training,exclude_reason,source_file
이매진아시아,036260,00122339,2020,상폐기업,CFS,True,1,상폐기업,False,7,False,False,2021,2021-02-15,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\이매진아시아\2020\036260__이매진아시아__2020__11011.json
에스에스컴텍,036500,00267960,2016,상폐기업,CFS,True,1,상폐기업,False,3,False,False,2017,2017-05-11,폐지사유: 감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\에스에스컴텍\2016\036500__에스에스컴텍__2016__11011.json
에이치씨코퍼레이션,037340,00241236,2015,상폐기업,CFS,True,1,상폐기업,False,0,False,False,2016,2016-09-08,폐지사유: 2반기 연속 자본잠식률 50% 이상,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\에이치씨코퍼레이션\2015\037340__에이치씨코퍼레이션__2015__11011.json
미래에셋증권,037620,00311030,2016,상폐기업,,False,1,상폐기업,False,30,True,True,2017,2017-01-20,폐지사유: 해산 사유 발생,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\미래에셋증권\2016\037620__미래에셋증권__2016__11011.json
에이아이비트,039230,00295370,2020,상폐기업,CFS,True,1,상폐기업,False,4,False,False,2021,2021-10-06,폐지사유: 감사의견 거절(감사범위 제한),True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\에이아이비트\2020\039230__에이아이비트__2020__11011.json
스포츠서울,039670,00298687,2021,상폐기업,CFS,True,1,상폐기업,False,4,False,False,2022,2022-04-20,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\스포츠서울\2021\039670__스포츠서울__2021__11011.json
위노바,039790,00261735,2017,상폐기업,,False,1,상폐기업,False,30,True,True,2018,2018-03-09,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\위노바\2017\039790__위노바__2017__11011.json
에임하이,043580,00222806,2017,상폐기업,CFS,True,1,상폐기업,False,1,False,False,2018,2018-08-10,폐지사유: 감사의견거절(감사범위 제한),True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\에임하이\2017\043580__에임하이__2017__11011.json
GV,045890,00455112,2020,상폐기업,CFS,True,1,상폐기업,False,3,False,False,2021,2021-12-20,폐지사유: 해산사유 발생(파산선고),True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\GV\2020\045890__GV__2020__11011.json
디케이씨,047440,00324104,2017,상폐기업,CFS,True,1,상폐기업,False,1,False,False,2018,2018-10-11,폐지사유: 감사의견거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\디케이씨\2017\047440__디케이씨__2017__11011.json
에스에이치엔엘,050320,00245898,2021,상폐기업,OFS,True,1,상폐기업,False,1,False,False,2022,2022-05-31,폐지사유: 감사의견 거절,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\에스에이치엔엘\2021\050320__에스에이치엔엘__2021__11011.json
엠피씨플러스,050540,00302078,2022,상폐기업,CFS,True,1,상폐기업,False,5,False,False,2023,2023-05-08,폐지사유: 감사의견 거절(감사범위 제한),True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\엠피씨플러스\2022\050540__엠피씨플러스__2022__11011.json
썬코어,051170,00202778,2017,상폐기업,,False,1,상폐기업,False,30,True,True,2018,2018-03-15,폐지사유: '16사업연도 감사의견거절(계속기업 존속능력에 대한 불확실성) 및 '17사업연도 반기 감사의견거절(계속기업 존속능력에 대한 불확실성),True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\썬코어\2017\051170__썬코어__2017__11011.json
플랜텍,051310,00181934,2015,상폐기업,CFS,True,1,상폐기업,False,0,False,False,2016,2016-04-15,폐지사유: 자본전액잠식,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\플랜텍\2015\051310__플랜텍__2015__11011.json
세영디앤씨,052190,00347877,2021,상폐기업,CFS,True,1,상폐기업,False,5,False,False,2022,2022-05-27,폐지사유: 감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\세영디앤씨\2021\052190__세영디앤씨__2021__11011.json
우전,052270,00291231,2016,상폐기업,,False,1,상폐기업,False,30,True,True,2017,2017-04-13,폐지사유: 자본전액잠식 등,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\우전\2016\052270__우전__2016__11011.json
트레이스,052290,00348177,2017,상폐기업,CFS,True,1,상폐기업,False,4,False,False,2018,2018-10-11,폐지사유: 감사의견거절(감사범위 제한),True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\트레이스\2017\052290__트레이스__2017__11011.json
소리바다,053110,00352718,2021,상폐기업,CFS,True,1,상폐기업,False,4,False,False,2022,2022-09-07,폐지사유: 감사의견 거절(감사범위 제한),True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\소리바다\2021\053110__소리바다__2021__11011.json
한국테크놀로지,053590,00355548,2023,상폐기업,CFS,True,1,상폐기업,False,1,False,False,2024,2024-10-07,폐지사유: 해산사유 발생(파산선고),True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\한국테크놀로지\2023\053590__한국테크놀로지__2023__11011.json
현진소재,053660,00188715,2021,상폐기업,CFS,True,1,상폐기업,False,2,False,False,2022,2022-04-26,폐지사유: 감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\현진소재\2021\053660__현진소재__2021__11011.json
아이팩토리,053810,00351047,2015,상폐기업,CFS,True,1,상폐기업,False,4,False,False,2016,2016-09-19,폐지사유: 감사의견 거절(감사범위 제한 및 기업회계기준 위배),True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\아이팩토리\2015\053810__아이팩토리__2015__11011.json
피앤텔,054340,00302120,2019,상폐기업,CFS,True,1,상폐기업,False,4,False,False,2020,2020-05-21,폐지사유: 감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\피앤텔\2019\054340__피앤텔__2019__11011.json
