종목코드,corp_code,기업명,event_year_Y,event_date,event_source,y_minus_1_excluded
900040,00695464,차이나그레이트스타인터내셔널리미티드,2020,20200522,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
149940,00757816,모다,2024,20240220,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
136510,00763358,스마트솔루션즈,2024,20240725,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
178920,00767460,PI첨단소재,2023,20230324,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
131390,00785475,원익피앤이,2022,20221129,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
900080,00786331,에스앤씨엔진그룹리미티드,2021,20210614,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
900090,00790121,차이나하오란리사이클링유한공사,2019,20190102,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
127160,00806972,매직마이크로,2023,20230104,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
226350,00809517,아이엠텍,2022,20221209,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
141020,00812362,디에스앤엘,2024,20240103,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
160600,00818472,이큐셀,2026,20260306,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
214870,00820389,한울비앤씨,2026,20260325,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
900130,00823687,웨이포트유한공사,2017,20170725,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
130960,00838421,씨제이이앤엠,2018,20180718,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
900180,00842327,완리인터내셔널홀딩스,2018,20180528,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
181340,00861720,이즈미디어,2025,20250103,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
176440,00872452,미래오토스,2022,20220725,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
204990,00874195,코썬바이오,2024,20240628,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
225330,00914040,씨엠에스에듀,2022,20220317,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
158310,00923899,참존글로벌,2023,20230111,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
950110,00938688,SBI핀테크솔루션즈,2025,20250724,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
161570,00945208,더미동,2025,20250521,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
214310,00957568,로아앤코,2025,20250701,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
189540,00961136,씨티네트웍스,2020,20200512,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
263540,00971090,어스앤에어로스페이스,2024,20241216,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
208340,00972293,파멥신,2026,20260319,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
194510,00977696,넥스쳐,2026,20260303,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
192080,01010110,더블유게임즈,2026,20260319,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
194610,01011562,우성아이비,2023,20230223,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
138580,01014657,비즈니스온커뮤니케이션,2025,20250218,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
213090,01015726,미래테크놀로지,2021,20211005,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True
