기업명,종목코드,corp_code,연도,기업상태,selected_fs_div,has_data,raw_row_count,status_values,status_conflict,all_feature_null,event_year_Y,event_date,event_source,y_minus_1_excluded,is_positive_candidate,is_excluded_y_minus_1,is_excluded_event_or_after,target_future_delist,include_for_training,exclude_reason,source_file
글로웍스,034600,00251190,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\글로웍스\2016\034600__글로웍스__2016__11011.json
한국토지신탁,034830,00233653,2024,상장기업,CFS,True,2,상장기업|상폐기업,True,False,2025,20250327,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상장기업\한국토지신탁\2024\034830__한국토지신탁__2024__11011.json
쓰리디넷,035400,00223346,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\쓰리디넷\2016\035400__쓰리디넷__2016__11011.json
지아이바이오,035450,00259439,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\지아이바이오\2016\035450__지아이바이오__2016__11011.json
글로앤웰,035480,00255141,2020,상폐기업,,False,1,상폐기업,False,True,2021,20210208,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\글로앤웰\2020\035480__글로앤웰__2020__11011.json
써니트렌드,035500,00255309,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\써니트렌드\2016\035500__써니트렌드__2016__11011.json
씨엘엘씨디,035710,00259493,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\씨엘엘씨디\2016\035710__씨엘엘씨디__2016__11011.json
카카오,035720,00258801,2023,상장기업,CFS,True,2,상장기업|상폐기업,True,False,2024,20240329,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상장기업\카카오\2023\035720__카카오__2023__11011.json
메카포럼,035830,00246383,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\메카포럼\2016\035830__메카포럼__2016__11011.json
호성,035870,00261601,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\호성\2016\035870__호성__2016__11011.json
현대멀티캡,035910,00258731,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\현대멀티캡\2016\035910__현대멀티캡__2016__11011.json
오상헬스케어,036220,00260657,2024,상장기업,CFS,True,2,상장기업|상폐기업,True,False,2025,20250502,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상장기업\오상헬스케어\2024\036220__오상헬스케어__2024__11011.json
이매진아시아,036260,00122339,2020,상폐기업,CFS,True,1,상폐기업,False,False,2021,20210326,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\이매진아시아\2020\036260__이매진아시아__2020__11011.json
쓰리소프트,036360,00260903,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\쓰리소프트\2016\036360__쓰리소프트__2016__11011.json
콘텐트리중앙,036420,00203315,2024,상장기업,CFS,True,2,상장기업|상폐기업,True,False,2025,20250331,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상장기업\콘텐트리중앙\2024\036420__콘텐트리중앙__2024__11011.json
에스케이머티리얼즈,036490,00110051,2023,상폐기업,,False,1,상폐기업,False,True,2024,20240628,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\에스케이머티리얼즈\2023\036490__에스케이머티리얼즈__2023__11011.json
에스에스컴텍,036500,00267960,2016,상폐기업,CFS,True,1,상폐기업,False,False,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\에스에스컴텍\2016\036500__에스에스컴텍__2016__11011.json
지디코프,036610,00254009,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\지디코프\2016\036610__지디코프__2016__11011.json
플러스프로핏,036660,00259606,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\플러스프로핏\2016\036660__플러스프로핏__2016__11011.json
한빛네트,036720,00260985,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\한빛네트\2016\036720__한빛네트__2016__11011.json
한와이어리스,037020,00178471,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\한와이어리스\2016\037020__한와이어리스__2016__11011.json
시큐어소프트,037060,00300256,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\시큐어소프트\2016\037060__시큐어소프트__2016__11011.json
한신코퍼레이션,037120,00253514,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\한신코퍼레이션\2016\037120__한신코퍼레이션__2016__11011.json
넥스텔,037220,00265254,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\넥스텔\2016\037220__넥스텔__2016__11011.json
대흥멀티미디어통신,037250,00260639,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\대흥멀티미디어통신\2016\037250__대흥멀티미디어통신__2016__11011.json
에이치씨코퍼레이션,037340,00241236,2025,상폐기업,,False,1,상폐기업,False,True,2026,20260324,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\에이치씨코퍼레이션\2025\037340__에이치씨코퍼레이션__2025__11011.json
에이원마이크로,037380,00164195,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\에이원마이크로\2016\037380__에이원마이크로__2016__11011.json
클라스타,037550,00314000,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\클라스타\2016\037550__클라스타__2016__11011.json
엔써커뮤니티,037750,00260888,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\엔써커뮤니티\2016\037750__엔써커뮤니티__2016__11011.json
글로포스트,037830,00261188,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\글로포스트\2016\037830__글로포스트__2016__11011.json
아이엠아이티,038100,00260921,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\아이엠아이티\2016\038100__아이엠아이티__2016__11011.json
KD,044180,00111218,2024,상장기업,CFS,True,1,상장기업,False,False,2025,20250331,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상장기업\KD\2024\044180__KD__2024__11011.json
에스브이에이치,046240,00268358,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\에스브이에이치\2016\046240__에스브이에이치__2016__11011.json
세라온홀딩스,050600,00296069,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\세라온홀딩스\2016\050600__세라온홀딩스__2016__11011.json
블루젬디앤씨,053040,00349468,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\블루젬디앤씨\2016\053040__블루젬디앤씨__2016__11011.json
선팩테크,054010,00299376,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\선팩테크\2016\054010__선팩테크__2016__11011.json
엔빅스,054170,00300566,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\엔빅스\2016\054170__엔빅스__2016__11011.json
엠텍반도체,054440,00356644,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\엠텍반도체\2016\054440__엠텍반도체__2016__11011.json
