threshold,recall,precision,f1,roc_auc,pr_auc,tn,fp,fn,tp,positive_support,negative_support,split
0.49,0.6,0.017341040462427744,0.033707865168539325,0.6527045769764216,0.1833815238072866,1823,340,4,6,10,2163,valid
0.5,0.6,0.0182370820668693,0.035398230088495575,0.6527045769764216,0.1833815238072866,1840,323,4,6,10,2163,valid
0.51,0.6,0.01875,0.03636363636363636,0.6527045769764216,0.1833815238072866,1849,314,4,6,10,2163,valid
0.52,0.6,0.019417475728155338,0.03761755485893417,0.6527045769764216,0.1833815238072866,1860,303,4,6,10,2163,valid
0.53,0.6,0.020066889632107024,0.038834951456310676,0.6527045769764216,0.1833815238072866,1870,293,4,6,10,2163,valid
0.54,0.6,0.020905923344947737,0.04040404040404041,0.6527045769764216,0.1833815238072866,1882,281,4,6,10,2163,valid
0.55,0.6,0.021739130434782608,0.04195804195804196,0.6527045769764216,0.1833815238072866,1893,270,4,6,10,2163,valid
0.56,0.6,0.022641509433962263,0.04363636363636364,0.6527045769764216,0.1833815238072866,1904,259,4,6,10,2163,valid
0.57,0.6,0.023809523809523808,0.04580152671755725,0.6527045769764216,0.1833815238072866,1917,246,4,6,10,2163,valid
0.58,0.6,0.02564102564102564,0.04918032786885246,0.6527045769764216,0.1833815238072866,1935,228,4,6,10,2163,valid
0.59,0.6,0.02654867256637168,0.05084745762711865,0.6527045769764216,0.1833815238072866,1943,220,4,6,10,2163,valid
0.6,0.6,0.027906976744186046,0.05333333333333334,0.6527045769764216,0.1833815238072866,1954,209,4,6,10,2163,valid
0.61,0.6,0.028985507246376812,0.055299539170506916,0.6527045769764216,0.1833815238072866,1962,201,4,6,10,2163,valid
0.62,0.5,0.02564102564102564,0.04878048780487805,0.6527045769764216,0.1833815238072866,1973,190,5,5,10,2163,valid
0.63,0.4,0.0213903743315508,0.04060913705583756,0.6527045769764216,0.1833815238072866,1980,183,6,4,10,2163,valid
0.64,0.4,0.022099447513812154,0.041884816753926704,0.6527045769764216,0.1833815238072866,1986,177,6,4,10,2163,valid
0.65,0.4,0.022857142857142857,0.043243243243243246,0.6527045769764216,0.1833815238072866,1992,171,6,4,10,2163,valid
0.66,0.4,0.024096385542168676,0.045454545454545456,0.6527045769764216,0.1833815238072866,2001,162,6,4,10,2163,valid
0.67,0.4,0.02531645569620253,0.047619047619047616,0.6527045769764216,0.1833815238072866,2009,154,6,4,10,2163,valid
0.68,0.4,0.02702702702702703,0.05063291139240506,0.6527045769764216,0.1833815238072866,2019,144,6,4,10,2163,valid
0.69,0.4,0.027972027972027972,0.05228758169934641,0.6527045769764216,0.1833815238072866,2024,139,6,4,10,2163,valid
0.7,0.4,0.029850746268656716,0.05555555555555555,0.6527045769764216,0.1833815238072866,2033,130,6,4,10,2163,valid
0.71,0.4,0.031007751937984496,0.05755395683453238,0.6527045769764216,0.1833815238072866,2038,125,6,4,10,2163,valid
0.72,0.4,0.032520325203252036,0.06015037593984962,0.6527045769764216,0.1833815238072866,2044,119,6,4,10,2163,valid
0.73,0.4,0.03361344537815126,0.06201550387596899,0.6527045769764216,0.1833815238072866,2048,115,6,4,10,2163,valid
0.74,0.4,0.035398230088495575,0.06504065040650407,0.6527045769764216,0.1833815238072866,2054,109,6,4,10,2163,valid
0.75,0.4,0.037037037037037035,0.06779661016949153,0.6527045769764216,0.1833815238072866,2059,104,6,4,10,2163,valid
0.76,0.4,0.038834951456310676,0.07079646017699115,0.6527045769764216,0.1833815238072866,2064,99,6,4,10,2163,valid
0.77,0.4,0.04040404040404041,0.07339449541284404,0.6527045769764216,0.1833815238072866,2068,95,6,4,10,2163,valid
0.78,0.4,0.042105263157894736,0.0761904761904762,0.6527045769764216,0.1833815238072866,2072,91,6,4,10,2163,valid
0.79,0.4,0.044444444444444446,0.08,0.6527045769764216,0.1833815238072866,2077,86,6,4,10,2163,valid
0.8,0.4,0.04819277108433735,0.08602150537634409,0.6527045769764216,0.1833815238072866,2084,79,6,4,10,2163,valid
0.81,0.4,0.04938271604938271,0.08791208791208792,0.6527045769764216,0.1833815238072866,2086,77,6,4,10,2163,valid
0.82,0.3,0.038461538461538464,0.06818181818181818,0.6527045769764216,0.1833815238072866,2088,75,7,3,10,2163,valid
0.83,0.3,0.04054054054054054,0.07142857142857142,0.6527045769764216,0.1833815238072866,2092,71,7,3,10,2163,valid
0.84,0.3,0.045454545454545456,0.07894736842105263,0.6527045769764216,0.1833815238072866,2100,63,7,3,10,2163,valid
0.85,0.3,0.047619047619047616,0.0821917808219178,0.6527045769764216,0.1833815238072866,2103,60,7,3,10,2163,valid
0.86,0.3,0.04918032786885246,0.08450704225352113,0.6527045769764216,0.1833815238072866,2105,58,7,3,10,2163,valid
0.87,0.3,0.05084745762711865,0.08695652173913043,0.6527045769764216,0.1833815238072866,2107,56,7,3,10,2163,valid
0.88,0.3,0.05555555555555555,0.09375,0.6527045769764216,0.1833815238072866,2112,51,7,3,10,2163,valid
0.89,0.3,0.0625,0.10344827586206896,0.6527045769764216,0.1833815238072866,2118,45,7,3,10,2163,valid
0.9,0.3,0.06976744186046512,0.11320754716981132,0.6527045769764216,0.1833815238072866,2123,40,7,3,10,2163,valid
0.91,0.3,0.075,0.12,0.6527045769764216,0.1833815238072866,2126,37,7,3,10,2163,valid
0.92,0.3,0.08333333333333333,0.13043478260869565,0.6527045769764216,0.1833815238072866,2130,33,7,3,10,2163,valid
0.93,0.3,0.09375,0.14285714285714285,0.6527045769764216,0.1833815238072866,2134,29,7,3,10,2163,valid
0.94,0.3,0.10344827586206896,0.15384615384615385,0.6527045769764216,0.1833815238072866,2137,26,7,3,10,2163,valid
0.95,0.3,0.125,0.17647058823529413,0.6527045769764216,0.1833815238072866,2142,21,7,3,10,2163,valid
0.96,0.3,0.13636363636363635,0.1875,0.6527045769764216,0.1833815238072866,2144,19,7,3,10,2163,valid
0.97,0.3,0.16666666666666666,0.21428571428571427,0.6527045769764216,0.1833815238072866,2148,15,7,3,10,2163,valid
0.98,0.3,0.2,0.24,0.6527045769764216,0.1833815238072866,2151,12,7,3,10,2163,valid
0.99,0.3,0.375,0.3333333333333333,0.6527045769764216,0.1833815238072866,2158,5,7,3,10,2163,valid
