기업명,종목코드,상폐일,폐지사유,event_year_Y,exclude_rule
케이비17호스팩,317030,2021-11-04,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소,2021,
이엠네트웍스,087730,2021-10-08,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,2021,
코너스톤네트웍스,033110,2021-10-08,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),2021,
에이아이비트,039230,2021-10-06,감사의견 거절(감사범위 제한),2021,
지유온,111820,2021-09-30,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,2021,
엔에이치스팩13호,310840,2021-09-23,상장예비심사청구서 미제출,2021,
맥스로텍,141070,2021-09-16,발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래정지,2021,
에스제이케이,080440,2021-09-13,해산사유 발생(파산선고),2021,
디에스티,033430,2021-09-02,감사의견 한정(감사범위 제한),2021,
폭스소프트,354230,2021-09-01,지정자문인 선임계약 해지 후 30일 이내 미체결(2021.8.18 限),2021,
화신테크,086250,2021-08-31,감사의견 거절(감사범위 제한),2021,
팍스넷,038160,2021-08-23,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),2021,
럭슬,033600,2021-08-11,감사의견 거절(감사범위 제한),2021,
제낙스,065620,2021-08-09,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),2021,
키움제5호스팩,311270,2021-08-02,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소,2021,
SK4호스팩,307070,2021-07-13,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소,2021,
하나머스트제6호스팩,307160,2021-07-08,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소,2021,
에스앤씨엔진그룹,900080,2021-06-14,"법정제출기한까지 사업보고서를 제출하지 아니한 후, 법정제출기한의 다음날부터 10일이내에 사업보고서를 제출하지 아니함",2021,
아이엠텍,226350,2021-06-11,감사의견 거절(감사범위 제한),2021,
퓨전,195440,2021-06-10,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),2021,
행남사,008800,2021-06-07,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,2021,
에이팸,073070,2021-06-04,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당,2021,
SGA클라우드서비스,224880,2021-05-06,분산요건 미달,2021,
전우정밀,120780,2021-05-06,분산요건 미달,2021,
에이치디,102210,2021-04-19,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,2021,
동성화학,005190,2021-04-16,해산 사유 발생,2021,
구스앤홈,329050,2021-04-13,사업보고서 법정제출기한('21.3.31限)내 미제출,2021,
미래SCI,028040,2021-04-13,"최근 2년간 3회 이상 공시규정 제19조제1항의 규정에 의한 사업보고서, 반기보고서 또는 분기보고서 법정제출기한 내 미제출",2021,
이매진아시아,036260,2021-02-15,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당,2021,
이에스산업,241510,2021-01-26,지정자문인 선임계약 해지 후 30일 이내 미체결(2021.1.13 限),2021,
한국제7호스팩,291210,2021-01-15,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소,2021,
코리아오토글라스,152330,2020-12-18,해산 사유 발생,2020,
비엔에프코퍼레이션,271780,2020-11-05,상장폐지 신청('20.10.13),2020,
파티게임즈,194510,2020-09-09,감사의견거절(감사범위 제한),2020,
신한제4호스팩,277480,2020-08-20,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2020,
코썬바이오,204990,2020-08-11,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,2020,
티씨엠생명과학,228180,2020-08-07,포괄적 주식교환에 따른 상장폐지 신청('20.7.17),2020,
바이오빌,065940,2020-07-31,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),2020,
한국제6호스팩,281410,2020-07-27,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2020,
고려개발,004200,2020-07-21,해산 사유 발생,2020,
한국제지,002300,2020-07-13,해산 사유 발생,2020,
모다,149940,2020-07-10,감사의견거절(감사범위 제한),2020,
한화에이스스팩4호,279410,2020-07-03,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2020,
화진,134780,2020-07-02,감사의견거절(감사범위제한),2020,
하나니켈2호,099350,2020-07-01,존속기간 만료,2020,
하나니켈1호,099340,2020-07-01,존속기간 만료,2020,
신한,005450,2020-06-30,감사의견 의견거절 2년 계속,2020,
에스에프씨,112240,2020-06-30,감사의견 거절(감사범위 제한),2020,
동북아12호선박투자,083370,2020-06-23,존속기간 만료,2020,
IBKS제7호스팩,276920,2020-06-18,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2020,
LPK로보틱스,183350,2020-06-17,"외부감사인의 감사의견 거절(감사범위 제한), 감사의견 한정(감사범위 제한)",2020,
