기업명,종목코드,상폐일,폐지사유,event_year_Y,exclude_rule
신한제7호스팩,366330,2023-09-18,피흡수합병(스팩소멸합병),2023,merge_or_spac
유안타제8호스팩,367480,2023-09-08,피흡수합병(스팩소멸합병),2023,merge_or_spac
한국제10호스팩,409570,2023-08-31,피흡수합병(스팩소멸합병),2023,merge_or_spac
우리종금,010050,2023-08-28,지주회사(최대주주등)의 완전자회사화 등,2023,privatization
우리벤처파트너스,298870,2023-08-28,타법인의 완전자회사로 편입,2023,privatization
캔버스엔,210120,2023-08-17,코스닥시장 이전상장,2023,market_transfer
NICE평가정보,030190,2023-08-08,유가증권시장 상장,2023,market_transfer
아이티센피엔에스,232830,2023-06-29,코스닥시장 이전상장,2023,market_transfer
비에이치,090460,2023-06-20,유가증권시장 상장,2023,market_transfer
프로티아,303360,2023-06-16,코스닥시장 이전상장,2023,market_transfer
하나금융19호스팩,388220,2023-05-23,피흡수합병(스팩소멸합병),2023,merge_or_spac
엔에이치스팩22호,396770,2023-04-28,피흡수합병(스팩소멸합병),2023,merge_or_spac
토마토시스템,393210,2023-04-27,코스닥시장 이전상장,2023,market_transfer
메리츠증권,008560,2023-04-25,지주회사(최대주주등)의 완전자회사화 등,2023,privatization
대신밸런스제12호스팩,426670,2023-04-20,피흡수합병(스팩소멸합병),2023,merge_or_spac
SK오션플랜트,100090,2023-04-19,유가증권시장 상장,2023,market_transfer
대신밸런스제10호스팩,387310,2023-03-16,피흡수합병(스팩소멸합병),2023,merge_or_spac
대신밸런스제11호스팩,397500,2023-03-09,피흡수합병(스팩소멸합병),2023,merge_or_spac
메리츠화재,000060,2023-02-21,지주회사(최대주주등)의 완전자회사화 등,2023,privatization
이노진,344860,2023-02-20,코스닥시장 이전상장,2023,market_transfer
신영스팩6호,344050,2023-02-17,피흡수합병(스팩소멸합병),2023,merge_or_spac
케이비제20호스팩,342550,2022-12-29,피흡수합병(스팩소멸합병),2022,merge_or_spac
하나금융15호스팩,341160,2022-12-23,피흡수합병(스팩소멸합병),2022,merge_or_spac
켐온,217600,2022-12-16,피흡수합병,2022,merge_or_spac
코리아센터,290510,2022-12-16,피흡수합병,2022,merge_or_spac
유안타제7호스팩,367460,2022-12-08,피흡수합병(스팩소멸합병),2022,merge_or_spac
원익피앤이,131390,2022-11-29,피흡수합병,2022,merge_or_spac
유비온,084440,2022-11-18,코스닥시장 이전상장,2022,market_transfer
LX세미콘,108320,2022-11-03,유가증권시장 상장,2022,market_transfer
SK5호스팩,337450,2022-10-18,피흡수합병(스팩소멸합병),2022,merge_or_spac
선바이오,067370,2022-10-05,코스닥시장 이전상장,2022,market_transfer
원텍,216280,2022-06-30,피흡수합병,2022,merge_or_spac
비큐AI,148780,2022-06-20,코스닥시장 이전상장,2022,market_transfer
넥슨지티,041140,2022-04-15,피흡수합병,2022,merge_or_spac
엔에스쇼핑,138250,2022-03-22,지주회사(최대주주등)의 완전자회사화 등,2022,privatization
씨엠에스에듀,225330,2022-03-17,피흡수합병,2022,merge_or_spac
인카금융서비스,211050,2022-02-16,코스닥시장 이전상장,2022,market_transfer
애드바이오텍,179530,2022-01-24,코스닥시장 이전상장,2022,market_transfer
부산도시가스,015350,2022-01-18,지주회사(최대주주등)의 완전자회사화 등,2022,privatization
아티스트스튜디오,200350,2021-12-30,코스닥시장 이전상장,2021,market_transfer
