experiment,threshold,precision,recall,f1,tp,fp,fn,tn
baseline_single_year,0.8,0.04819277108433735,0.4,0.08602150537634409,4,79,6,2084
baseline_single_year,0.81,0.04938271604938271,0.4,0.08791208791208792,4,77,6,2086
baseline_single_year,0.82,0.038461538461538464,0.3,0.06818181818181818,3,75,7,2088
baseline_single_year,0.83,0.04054054054054054,0.3,0.07142857142857142,3,71,7,2092
baseline_single_year,0.84,0.045454545454545456,0.3,0.07894736842105263,3,63,7,2100
baseline_single_year,0.85,0.047619047619047616,0.3,0.0821917808219178,3,60,7,2103
baseline_single_year,0.86,0.04918032786885246,0.3,0.08450704225352113,3,58,7,2105
baseline_single_year,0.87,0.05084745762711865,0.3,0.08695652173913043,3,56,7,2107
baseline_single_year,0.88,0.05555555555555555,0.3,0.09375,3,51,7,2112
baseline_single_year,0.89,0.0625,0.3,0.10344827586206896,3,45,7,2118
baseline_single_year,0.9,0.06976744186046512,0.3,0.11320754716981132,3,40,7,2123
baseline_single_year,0.91,0.075,0.3,0.12,3,37,7,2126
baseline_single_year,0.92,0.08333333333333333,0.3,0.13043478260869565,3,33,7,2130
baseline_single_year,0.93,0.09375,0.3,0.14285714285714285,3,29,7,2134
baseline_single_year,0.94,0.10344827586206896,0.3,0.15384615384615385,3,26,7,2137
baseline_single_year,0.95,0.125,0.3,0.17647058823529413,3,21,7,2142
baseline_single_year,0.96,0.13636363636363635,0.3,0.1875,3,19,7,2144
baseline_single_year,0.97,0.16666666666666666,0.3,0.21428571428571427,3,15,7,2148
baseline_single_year,0.98,0.2,0.3,0.24,3,12,7,2151
baseline_single_year,0.99,0.375,0.3,0.3333333333333333,3,5,7,2158
single_year_year_standardized,0.05,0.0047875523638539795,0.8,0.009518143961927425,8,1663,2,500
single_year_year_standardized,0.06,0.004920049200492005,0.8,0.009779951100244499,8,1618,2,545
single_year_year_standardized,0.07,0.005089058524173028,0.8,0.010113780025284451,8,1564,2,599
single_year_year_standardized,0.08,0.005252790544977019,0.8,0.010437051532941943,8,1515,2,648
single_year_year_standardized,0.09,0.005442176870748299,0.8,0.010810810810810811,8,1462,2,701
single_year_year_standardized,0.1,0.005598320503848845,0.8,0.011118832522585128,8,1421,2,742
single_year_year_standardized,0.11,0.005788712011577424,0.8,0.011494252873563218,8,1374,2,789
single_year_year_standardized,0.12,0.005983545250560957,0.8,0.011878247958426132,8,1329,2,834
single_year_year_standardized,0.13,0.006153846153846154,0.8,0.012213740458015267,8,1292,2,871
single_year_year_standardized,0.14,0.006334125098970704,0.8,0.012568735271013355,8,1255,2,908
single_year_year_standardized,0.15,0.006557377049180328,0.8,0.013008130081300813,8,1212,2,951
single_year_year_standardized,0.16,0.006825938566552901,0.8,0.01353637901861252,8,1164,2,999
single_year_year_standardized,0.17,0.007079646017699115,0.8,0.014035087719298246,8,1122,2,1041
single_year_year_standardized,0.18,0.007380073800738007,0.8,0.014625228519195612,8,1076,2,1087
single_year_year_standardized,0.19,0.007619047619047619,0.8,0.01509433962264151,8,1042,2,1121
single_year_year_standardized,0.2,0.007827788649706457,0.8,0.015503875968992248,8,1014,2,1149
single_year_year_standardized,0.21,0.008105369807497468,0.8,0.0160481444332999,8,979,2,1184
single_year_year_standardized,0.22,0.008316008316008316,0.8,0.01646090534979424,8,954,2,1209
single_year_year_standardized,0.23,0.008583690987124463,0.8,0.016985138004246284,8,924,2,1239
single_year_year_standardized,0.24,0.0077348066298342545,0.7,0.015300546448087432,7,898,3,1265
single_year_year_standardized,0.25,0.007963594994311717,0.7,0.015748031496062992,7,872,3,1291
single_year_year_standardized,0.26,0.008158508158508158,0.7,0.016129032258064516,7,851,3,1312
single_year_year_standardized,0.27,0.00857843137254902,0.7,0.01694915254237288,7,809,3,1354
single_year_year_standardized,0.28,0.008905852417302799,0.7,0.017587939698492462,7,779,3,1384
