종목코드,corp_code,기업명,event_year_Y,event_date,event_source,y_minus_1_excluded
135270,00000000,세종머티리얼즈,2019,2019-10-02,폐지사유: 파산선고에 따른 해산사유 발생,True
136510,00000000,스마트솔루션즈,2024,2024-07-25,폐지사유: 감사의견 거절,True
138290,00000000,지성이씨에스,2018,2018-08-22,폐지사유: 상장폐지 신청('18.7.19),True
138440,00000000,이코리아리츠,2015,2015-09-16,"폐지사유: 기업의 계속성, 경영의 투명성 및 기타 공익과 투자자 보호 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",True
138690,00000000,엘아이에스,2023,2023-12-06,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,True
139200,00000000,하이골드2호,2017,2017-01-11,폐지사유: 신청에 의한 상장폐지,True
140290,00000000,청광건설,2023,2023-05-08,폐지사유: 상장폐지 신청,True
140890,00000000,트러스제7호,2019,2019-05-07,폐지사유: 해산 사유 발생,True
141020,00000000,디에스앤엘,2024,2024-01-03,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,True
141070,00000000,맥스로텍,2021,2021-09-16,폐지사유: 발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래정지,True
144740,00000000,피엠디아카데미,2018,2018-08-07,폐지사유: 지정자문인 선임계약 해지 후 30일이내 미체결(2018.07.24限),True
148140,00000000,비디아이,2024,2024-06-07,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,True
149130,00000000,케이비부국위탁리츠,2015,2015-03-02,폐지사유: 감사의견 부적정,True
149940,00000000,모다,2020,2020-07-10,폐지사유: 감사의견거절(감사범위 제한),True
150440,00000000,피노텍,2024,2024-03-21,폐지사유: 외부감사인의 감사의견 의견거절,True
151750,00000000,테라텍,2016,2016-02-23,폐지사유: 상장폐지 신청('16.02.01),True
152330,00000000,코리아오토글라스,2020,2020-12-18,폐지사유: 해산 사유 발생,True
153360,00000000,하이골드3호,2022,2022-04-11,폐지사유: 감사의견 부적정,True
155900,00000000,바다로19호,2023,2023-11-24,폐지사유: 신청에 의한 상장폐지,True
155960,00000000,지디,2018,2018-10-12,폐지사유: 감사의견 거절(감사범위 제한),True
