기업명,종목코드,상폐일,폐지사유
하이골드3호,153360,2022-04-11,감사의견 부적정
한프,066110,2022-04-06,감사의견 거절(감사범위 제한)
상상인이안제2호스팩,329560,2022-04-04,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소
엔에스쇼핑,138250,2022-03-22,지주회사(최대주주등)의 완전자회사화 등
씨엠에스에듀,225330,2022-03-17,피흡수합병
케어룸의료산업,327970,2022-03-11,상장폐지 신청
지스마트글로벌,114570,2022-02-23,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)
폴루스바이오팜,007630,2022-02-22,감사의견 의견거절 2년 계속
이베스트이안스팩1호,323210,2022-02-17,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소
인카금융서비스,211050,2022-02-16,코스닥시장 이전상장
케이비제18호스팩,323940,2022-02-04,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소
애드바이오텍,179530,2022-01-24,코스닥시장 이전상장
부산도시가스,015350,2022-01-18,지주회사(최대주주등)의 완전자회사화 등
SBS미디어홀딩스,101060,2022-01-18,해산 사유 발생
자안바이오,221610,2022-01-05,발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래정지
하이골드12호,172580,2022-01-03,신청에 의한 상장폐지
아티스트스튜디오,200350,2021-12-30,코스닥시장 이전상장
SK머티리얼즈,036490,2021-12-27,피흡수합병
GV,045890,2021-12-20,해산사유 발생(파산선고)
툴젠,199800,2021-12-10,코스닥시장 이전상장
에스에이티이엔지,158300,2021-12-09,피흡수합병
유안타제4호스팩,313750,2021-12-07,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소
한화에스비아이스팩,317320,2021-12-07,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소
다이노나,086080,2021-11-22,피흡수합병
NPX,222160,2021-11-18,코스닥시장 이전상장
녹십자셀,031390,2021-11-17,피흡수합병
코오롱머티리얼,144620,2021-11-05,지주회사(최대주주등)의 완전자회사화 등
케이비17호스팩,317030,2021-11-04,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소
이엠네트웍스,087730,2021-10-08,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
코너스톤네트웍스,033110,2021-10-08,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)
에이아이비트,039230,2021-10-06,감사의견 거절(감사범위 제한)
미래테크놀로지,213090,2021-10-05,피흡수합병
지유온,111820,2021-09-30,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
에스앤디,260970,2021-09-29,코스닥시장 이전상장
엔에이치스팩13호,310840,2021-09-23,상장예비심사청구서 미제출
맥스로텍,141070,2021-09-16,발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래정지
에스제이케이,080440,2021-09-13,해산사유 발생(파산선고)
에이비온,203400,2021-09-08,코스닥시장 이전상장
디에스티,033430,2021-09-02,감사의견 한정(감사범위 제한)
폭스소프트,354230,2021-09-01,지정자문인 선임계약 해지 후 30일 이내 미체결(2021.8.18 限)
화신테크,086250,2021-08-31,감사의견 거절(감사범위 제한)
우리금융캐피탈,033660,2021-08-27,지주회사(최대주주등)의 완전자회사화 등
팍스넷,038160,2021-08-23,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)
엠로,058970,2021-08-13,코스닥시장 이전상장
럭슬,033600,2021-08-11,감사의견 거절(감사범위 제한)
PI첨단소재,178920,2021-08-09,유가증권시장 상장
